0 193 11;
0 195 46;
20304.8 148 72 95;
20304.8 147 76 127;
20487.8 131 72 0;
20487.8 132 72 0;
20487.8 148 57 95;
20487.8 148 69 95;
20487.8 147 74 127;
20487.8 147 69 111;
20487.8 132 59 0;
20487.8 131 76 0;
20670.7 131 74 0;
20670.7 147 72 127;
20853.6 147 72 127;
20853.6 131 72 0;
20853.6 145 47 95;
20853.6 147 69 127;
20853.6 145 59 95;
20853.6 129 48 0;
20853.6 148 72 103;
20853.6 148 59 95;
20853.6 132 57 0;
20853.6 129 60 0;
20853.6 132 69 0;
20853.6 131 69 0;
21219.5 131 72 0;
21219.5 147 71 111;
21219.5 132 72 0;
21219.5 132 59 0;
21219.5 148 71 95;
21219.5 148 57 95;
21402.4 147 72 111;
21402.4 148 72 95;
21402.4 132 71 0;
21402.4 131 71 0;
21585.3 147 69 127;
21585.3 148 59 95;
21585.3 131 72 0;
21585.3 148 69 95;
21585.3 132 57 0;
21585.3 132 72 0;
21585.3 131 69 0;
21951.2 147 76 127;
21951.2 145 64 95;
21951.2 129 59 0;
21951.2 129 47 0;
21951.2 147 64 127;
21951.2 147 74 127;
21951.2 145 52 95;
21951.2 132 69 0;
21951.2 132 59 0;
21951.2 148 72 99;
21951.2 148 64 95;
21951.2 147 72 127;
21951.2 131 69 0;
22134.1 147 65 127;
22134.1 131 74 0;
22134.1 131 76 0;
22134.1 131 64 0;
22317 132 64 0;
22317 131 72 0;
22317 147 67 127;
22317 148 62 95;
22317 148 71 95;
22317 131 65 0;
22317 147 71 111;
22317 132 72 0;
22499.9 148 72 95;
22499.9 147 69 127;
22499.9 131 67 0;
22499.9 147 72 111;
22499.9 132 71 0;
22499.9 131 71 0;
22682.9 132 62 0;
22682.9 148 60 95;
22682.9 131 69 0;
22682.9 132 72 0;
22682.9 148 69 95;
22682.9 147 71 127;
22682.9 131 72 0;
22682.9 147 69 111;
22865.8 147 72 127;
22865.8 131 71 0;
23048.7 131 72 0;
23048.7 132 69 0;
23048.7 148 72 99;
23048.7 148 62 95;
23048.7 132 60 0;
23048.7 147 74 127;
23048.7 147 72 127;
23048.7 145 50 95;
23048.7 129 64 0;
23048.7 129 52 0;
23048.7 131 69 0;
23048.7 145 62 95;
